X,Y,Z
-80.7384375,43.6551042,410.00
-80.7351042,43.6551042,410.00
-80.7317708,43.6551042,409.00
-80.7284375,43.6551042,407.25
-80.7251042,43.6551042,409.00
-80.7217708,43.6551042,410.25
-80.7184375,43.6551042,411.00
-80.7151042,43.6551042,408.50
-80.7117708,43.6551042,403.25
-80.7084375,43.6551042,401.50
-80.7051042,43.6551042,379.75
-80.7017708,43.6551042,371.50
-80.6984375,43.6551042,396.00
-80.6951042,43.6551042,400.00
-80.6917708,43.6551042,400.50
-80.6884375,43.6551042,397.00
-80.6851042,43.6551042,395.00
-80.6817708,43.6551042,388.50
-80.6784375,43.6551042,388.50
-80.6751042,43.6551042,389.50
-80.6717708,43.6551042,392.00
